"Inbound No","STO No","ASN No","Inbound Location","PO No","GRN No","Created Date","GRN Date","Material Received Date","GRN Value","Inbound Type","Invoice No","Vendor Code","SKU Code","SKU Name","Lot Code","Transporter Name","Tracking No","Lot MRP","Lot Expiry","Bin Location","Unit Price","MRP","Recieved Qty","Expected Qty","Lottable 03","Lottable 04","Lottable 05","Lottable 06","Lottable 07","Vendor SKU Code","Brand","Damage Qty","Putaway Done","GRN Value Without Tax","GRN Value With Tax","IgpCode ","INBD_COST","Open Qty","Status","TaxGrpCode","LineTaxamount","External PO Code","Userid","Cust Ret No"
"SDL000001154","","","Scootsy SDL Delhivery","SDL1529","SDL000001127","28/03/2022 11:42 PM","28/03/2022 11:45 PM","28/03/2022 11:45 PM","51076.00","With PO","NIV3594182100705","1N60000469 - DHINGRA BROTHERS","8345","NIVEA DEODORANT ROLLON WHITENING SMOOTH SKIN 50ML","SDL000005966","","","199","01/10/2024 12:00 AM","STAGING","107.45800","199.00000","48.000","48.000","","","","","","8345","Default","0.000","No","5760.00","6796.80","SDL000001151","120.00000","0.000","Confirmed","5005","1036.80","PGN1647","Inbound1",""
"SDL000001154","","","Scootsy SDL Delhivery","SDL1529","SDL000001127","28/03/2022 11:42 PM","28/03/2022 11:45 PM","28/03/2022 11:45 PM","51076.00","With PO","NIV3594182100705","1N60000469 - DHINGRA BROTHERS","8856","NIVEA ALOE HYDRATION BODY LOTION - FOR NORMAL SKIN 200 ML","SDL000005965","","","275","01/06/2024 12:00 AM","STAGING","161.18600","275.00000","48.000","48.000","","","","","","8856","Default","0.000","No","8640.00","10195.20","SDL000001151","180.00000","0.000","Confirmed","5005","1555.20","PGN1647","Inbound1",""
"SDL000001154","","","Scootsy SDL Delhivery","SDL1529","SDL000001127","28/03/2022 11:42 PM","28/03/2022 11:45 PM","28/03/2022 11:45 PM","51076.00","With PO","NIV3594182100705","1N60000469 - DHINGRA BROTHERS","9776","NIVEA MEN ACTIVE CARE LIP BALM SPF FOR 24H MOISTURE 4.8 GM","SDL000005964","","","140","01/09/2024 12:00 AM","STAGING","94.02500","140.00000","48.000","48.000","","","","","","9776","Default","0.000","No","4884.00","5763.12","SDL000001151","101.75000","0.000","Confirmed","5005","879.12","PGN1647","Inbound1",""
"SDL000001154","","","Scootsy SDL Delhivery","SDL1529","SDL000001127","28/03/2022 11:42 PM","28/03/2022 11:45 PM","28/03/2022 11:45 PM","51076.00","With PO","NIV3594182100705","1N60000469 - DHINGRA BROTHERS","2285","NIVEA MEN COOL KICK SHOWER GEL 250ML BOTTLE","SDL000005968","","","199","01/06/2024 12:00 AM","STAGING","133.65200","199.00000","48.000","48.000","","","","","","2285","Default","0.000","No","7200.00","8496.00","SDL000001151","150.00000","0.000","Confirmed","5005","1296.00","PGN1647","Inbound1",""
"SDL000001154","","","Scootsy SDL Delhivery","SDL1529","SDL000001127","28/03/2022 11:42 PM","28/03/2022 11:45 PM","28/03/2022 11:45 PM","51076.00","With PO","NIV3594182100705","1N60000469 - DHINGRA BROTHERS","5287","NIVEA SHOWER GEL LEMON & OIL BODY WASH 250ML","SDL000005963","","","225","01/01/2024 12:00 AM","STAGING","133.65200","225.00000","48.000","48.000","","","","","","5287","Default","0.000","No","7200.00","8496.00","SDL000001151","150.00000","0.000","Confirmed","5005","1296.00","PGN1647","Inbound1",""
"SDL000001154","","","Scootsy SDL Delhivery","SDL1529","SDL000001127","28/03/2022 11:42 PM","28/03/2022 11:45 PM","28/03/2022 11:45 PM","51076.00","With PO","NIV3594182100705","1N60000469 - DHINGRA BROTHERS","9777","NIVEA MEN DEEP IMPACT INTENSE CLEAN FACE & BEARD WASH BLACK CARBON CARBON 100 GM","SDL000005967","","","225","01/01/2025 12:00 AM","STAGING","151.11300","225.00000","48.000","48.000","","","","","","9777","Default","0.000","No","9600.00","11328.00","SDL000001151","200.00000","0.000","Confirmed","5005","1728.00","PGN1647","Inbound1",""
"SDL000001153","","","Scootsy SDL Delhivery","SDL1544","SDL000001126","28/03/2022 10:51 PM","28/03/2022 11:37 PM","28/03/2022 11:37 PM","386187.00","With PO","HUL06946","1N60001183 - DHINGRA DISTRIBUTORS","2000","HORLICKS WOMEN`S PLUS CALSEAL FORMULA CHOCOLATE 400G","SDL000003766","","","310","01/01/2023 12:00 AM","STAGING","185.00000","299.00000","100.000","100.000","","","","","","2000","Default","0.000","No","20000.00","23600.00","SDL000001149","200.00000","","Confirmed","5005","3600.00","PGN1670","Inbound1",""
"SDL000001153","","","Scootsy SDL Delhivery","SDL1544","SDL000001126","28/03/2022 10:51 PM","28/03/2022 11:37 PM","28/03/2022 11:37 PM","386187.00","With PO","HUL06946","1N60001183 - DHINGRA DISTRIBUTORS","16407","SENSODYNE SENSITIVITY & GUM TOOTHBRUSH WITH SOFT BRISTLES & DUOFLEX NECK FOR BETTER CLEANING 1PC","SDL000005960","","","100","01/11/2023 12:00 AM","STAGING","62.71300","100.00000","104.000","104.000","","","","","","16407","Default","0.000","No","8814.00","10400.52","SDL000001149","84.75000","0.000","Confirmed","5005","1586.52","PGN1670","Inbound1",""
"SDL000001153","","","Scootsy SDL Delhivery","SDL1544","SDL000001126","28/03/2022 10:51 PM","28/03/2022 11:37 PM","28/03/2022 11:37 PM","386187.00","With PO","HUL06946","1N60001183 - DHINGRA DISTRIBUTORS","9577","HORLICKS HEALTH & NUTRITION DRINK CHOCOLATE GUSSETED POUCH 750 G","SDL000003741","","","310","01/02/2023 12:00 AM","STAGING","236.96900","310.00000","130.000","130.000","","","","","","9577","Default","0.000","No","30805.97","36351.05","SDL000001149","236.96900","","Confirmed","5005","5545.08","PGN1670","Inbound1",""
"SDL000001153","","","Scootsy SDL Delhivery","SDL1544","SDL000001126","28/03/2022 10:51 PM","28/03/2022 11:37 PM","28/03/2022 11:37 PM","386187.00","With PO","HUL06946","1N60001183 - DHINGRA DISTRIBUTORS","2037","SENSODYNE RAPID RELIEF SENSITIVE TOOTHPASTE 80GM","SDL000003769","","","170","01/12/2023 12:00 AM","PR-DAMAGE","117.91300","170.00000","110.000","110.000","","","","","","2037","Top 800-1200","0.000","No","13780.80","16261.34","SDL000001149","125.28000","0.000","Confirmed","5005","2480.54","PGN1670","Inbound1",""
